0.864,0.000,0.671,0
1.233,-1.400,0.651,1
1.600,21.600,0.630,0
1.767,20.102,0.618,0
2.008,19.267,0.601,0
2.223,18.092,0.584,0
2.424,16.945,0.568,0
2.606,15.775,0.551,0
2.766,14.599,0.534,0
2.909,13.438,0.517,0
3.091,12.261,0.501,0
3.196,11.120,0.484,0
3.279,9.937,0.468,0
3.343,8.768,0.451,0
3.386,7.600,0.434,0
3.411,6.451,0.418,0
3.418,5.289,0.401,0
3.404,4.107,0.384,0
3.371,2.929,0.368,0
3.658,1.776,0.352,1
3.951,21.879,0.334,0
4.217,20.676,0.318,0
4.524,19.494,0.301,0
4.745,18.323,0.284,0
4.948,17.163,0.268,0
5.134,16.001,0.251,0
5.298,14.824,0.234,0
5.443,13.662,0.218,0
5.569,12.500,0.201,0
5.676,11.331,0.184,0
5.763,10.163,0.168,0
5.830,8.993,0.151,0
5.453,7.832,0.135,0
5.532,6.676,0.118,0
5.604,5.508,0.101,0
5.645,4.344,0.084,0
5.690,3.162,0.068,0
5.716,1.997,0.051,0
5.697,0.832,0.034,0
5.659,-0.345,0.018,0
5.628,-1.507,0.019,0
5.628,-2.661,0.019,0
5.577,-2.661,0.021,0
5.480,-3.808,0.022,0
5.365,-4.998,0.024,0
5.256,-6.153,0.026,0
5.127,-7.315,0.027,0
4.965,-8.477,0.010,0
4.774,-9.655,0.012,0
4.558,-10.809,0.013,0
3.855,-11.991,0.015,0
3.552,-13.139,0.016,0
3.227,-14.312,0.018,0
2.888,-15.498,0.019,0
2.529,-16.660,0.021,0
2.155,-17.823,0.023,0
1.747,-18.971,1.024,0
1.330,-20.168,1.007,0
0.894,-21.329,0.991,0
0.506,-22.491,0.974,0
0.029,-23.641,0.957,0
0.336,-24.808,0.941,1
0.618,21.815,0.924,0
0.878,20.647,0.907,0
1.121,19.485,0.891,0
1.345,18.316,0.874,0
1.544,17.147,0.857,0
1.732,15.999,0.841,0
1.898,14.814,0.824,0
2.040,13.641,0.807,0
2.165,12.492,0.791,0
2.337,11.330,0.774,0
2.421,10.148,0.757,0
2.491,9.000,0.741,0
2.537,7.817,0.724,0
2.567,6.668,0.707,0
2.576,5.479,0.691,0
2.566,4.332,0.674,0
2.536,3.162,0.657,0
2.487,1.999,0.641,0
2.418,0.831,0.624,0
2.330,-0.352,0.607,0
2.222,-1.507,0.591,0
2.159,-2.683,0.574,0
2.011,-3.838,0.557,0
1.846,-5.026,0.541,0
1.662,-6.184,0.524,0
1.455,-7.339,0.507,0
1.232,-8.522,0.491,0
0.990,-9.677,0.474,0
0.727,-10.840,0.457,0
0.445,-12.007,0.441,0
0.144,-13.170,0.424,0
-0.180,-14.332,0.407,0
0.122,-15.512,0.391,1
0.469,21.828,0.374,0
0.728,20.652,0.357,0
0.973,19.497,0.340,0
1.191,18.320,0.324,0
1.398,17.178,0.307,0
1.580,15.997,0.291,0
1.747,14.843,0.274,0
1.891,13.666,0.257,0
2.019,12.504,0.241,0
2.125,11.328,0.224,0
2.210,10.159,0.207,0
2.117,9.012,0.159,0
1.583,2.004,0.108,0
1.613,1.744,0.039,0
1.626,1.389,0.026,0
1.641,1.227,0.012,0
1.664,0.968,0.017,0
1.158,0.713,0.021,0
0.973,0.457,0.025,0
0.846,0.198,0.011,0
0.653,-0.062,0.980,0
0.454,-0.313,0.929,0
0.252,-0.575,0.880,0
0.156,-0.829,0.863,0
0.103,-2.007,0.846,0
-0.032,-3.169,0.830,0
-0.187,-4.329,0.813,0
-0.361,-5.505,0.796,0
-0.554,-6.675,0.780,0
-0.767,-7.837,0.763,0
-0.998,-8.999,0.747,0
-0.692,-10.161,0.730,1
-0.412,21.817,0.713,0
-0.153,20.655,0.697,0
0.088,19.501,0.680,0
0.314,18.338,0.663,0
0.583,17.162,0.646,0
0.763,15.984,0.630,0
0.931,14.838,0.613,0
1.074,13.655,0.597,0
1.201,12.502,0.580,0
1.306,11.324,0.563,0
1.393,10.176,0.547,0
1.462,9.007,0.530,0
1.511,7.825,0.513,0
1.539,6.650,0.496,0
1.549,5.486,0.480,0
1.538,4.317,0.463,0
1.571,3.162,0.446,0
1.522,1.993,0.430,0
1.454,0.831,0.413,0
1.365,-0.344,0.396,0
1.259,-1.513,0.380,0
1.132,-2.661,0.363,0
0.985,-3.830,0.346,0
0.820,-5.008,0.330,0
0.633,-6.169,0.313,0
0.432,-7.352,0.297,0
0.207,-8.492,0.280,0
-0.038,-9.664,0.263,0
-0.238,-10.837,0.246,0
0.058,-12.008,0.230,1
0.341,21.847,0.213,0
0.604,20.679,0.197,0
0.847,19.508,0.180,0
1.073,18.340,0.163,0
1.277,17.164,0.146,0
1.035,15.995,0.130,0
1.250,14.833,0.113,0
1.447,13.670,0.096,0
1.645,12.494,0.080,0
1.828,11.347,0.063,0
1.977,10.168,0.047,0
2.095,9.010,0.030,0
2.195,7.848,0.013,0
2.299,6.664,0.015,0
2.383,5.494,0.016,0
2.422,4.333,0.018,0
2.443,3.185,0.019,0
2.469,2.010,0.021,0
2.476,0.832,0.022,0
2.437,-0.330,0.024,0
2.381,-1.512,0.025,0
1.828,-2.659,0.027,0
1.746,-3.843,0.010,0
1.579,-4.991,0.011,0
1.394,-6.174,0.013,0
1.188,-7.336,0.014,0
0.968,-8.513,0.016,0
0.722,-9.653,0.018,0
0.457,-10.836,1.019,0
0.180,-12.015,1.003,0
-0.124,-13.153,0.986,0
-0.444,-14.330,0.969,0
-0.149,-15.492,0.953,1
0.142,21.856,0.936,0
0.466,20.655,0.919,0
0.711,19.493,0.902,0
0.933,18.318,0.886,0
1.135,17.153,0.869,0
1.320,15.994,0.852,0
1.483,14.824,0.836,0
1.631,13.669,0.819,0
1.757,12.487,0.802,0
1.863,11.318,0.786,0
1.947,10.156,0.769,0
2.016,9.008,0.753,0
2.064,7.838,0.736,0
2.156,6.670,0.719,0
2.165,5.507,0.703,0
2.156,4.333,0.686,0
2.126,3.156,0.669,0
2.077,1.980,0.653,0
2.008,0.832,0.636,0
2.046,-0.329,0.619,0
2.064,-1.512,0.602,0
2.064,-2.682,0.586,0
2.043,-3.830,0.569,0
2.003,-5.006,0.553,0
1.940,-6.167,0.535,0
1.799,-7.368,0.519,0
1.703,-8.522,0.503,0
1.584,-9.675,0.486,0
1.447,-10.844,0.469,0
1.292,-12.012,0.453,0
1.117,-13.169,0.436,0
0.918,-14.329,0.419,0
0.702,-15.513,0.402,0
0.465,-16.682,0.386,0
0.216,-17.858,0.369,0
-0.054,-19.005,0.353,0
-0.347,-20.161,0.336,0
-0.725,-21.329,0.319,0
-1.055,-22.506,0.303,0
-1.405,-23.668,0.286,0
-1.781,-24.832,0.269,0
-1.358,-26.013,0.253,1
-0.953,21.845,0.236,0
-0.559,20.690,0.219,0
-0.192,19.500,0.202,0
0.156,18.337,0.186,0
0.485,17.175,0.169,0
0.794,16.014,0.153,0
1.509,14.851,0.136,0
1.722,13.690,0.119,0
1.922,12.499,0.103,0
2.105,11.344,0.086,0
2.242,10.176,0.069,0
2.362,9.013,0.053,0
2.484,7.838,0.036,0
2.590,6.689,0.019,0
2.650,5.513,0.021,0
2.691,4.351,0.022,0
2.737,3.176,0.024,0
2.764,2.013,0.025,0
2.747,0.833,0.027,0
2.721,-0.326,0.010,0
2.665,-1.501,0.011,0
2.614,-2.670,0.013,0
2.544,-3.832,0.015,0
2.930,-4.993,0.016,0
2.872,-6.150,0.018,0
2.791,-7.311,0.019,0
2.694,-8.494,0.021,0
2.575,-9.655,0.022,0
2.437,-10.832,0.024,0
2.283,-12.001,1.025,0
2.108,-13.155,1.009,0
1.846,-14.317,0.992,0
1.631,-15.500,0.975,0
1.398,-16.670,0.959,0
1.819,-17.831,0.942,1
2.229,21.851,0.925,0
2.616,20.677,0.909,0
2.985,19.513,0.892,0
3.338,18.344,0.875,0
3.667,17.161,0.859,0
3.974,15.999,0.842,0
4.264,14.845,0.825,0
4.536,13.682,0.809,0
4.728,12.512,0.792,0
4.958,11.331,0.775,0
5.172,10.177,0.759,0
5.367,9.007,0.742,0
5.540,7.824,0.725,0
5.694,6.669,0.709,0
5.829,5.500,0.692,0
5.945,4.338,0.675,0
6.041,3.169,0.659,0
6.118,2.020,0.642,0
6.175,0.844,0.625,0
6.213,-0.326,0.608,0
6.169,-1.508,0.592,0
6.169,-2.656,0.575,0
6.148,-3.817,0.559,0
6.108,-4.993,0.542,0
6.047,-6.155,0.525,0
5.970,-7.339,0.509,0
5.870,-8.494,0.492,0
5.755,-9.670,0.475,0
5.617,-10.824,0.459,0
5.460,-11.994,0.442,0
5.285,-13.163,0.425,0
5.089,-14.324,0.409,0
4.809,-15.493,0.392,0
4.570,-16.669,0.375,0
4.324,-17.853,0.359,0
4.052,-18.994,0.342,0
3.759,-20.155,0.325,0
3.449,-21.324,0.309,0
3.118,-22.485,0.292,0
2.767,-23.649,0.275,0
2.396,-24.818,0.259,0
2.008,-25.986,0.242,0
1.595,-27.149,0.225,0
1.166,-28.324,0.209,0
0.667,-29.493,0.192,0
0.223,-30.000,0.175,0
-0.218,-30.000,0.158,0
-0.650,-30.000,0.142,0
-0.657,-30.000,0.125,0
-1.142,-30.000,0.109,0
-1.633,-30.000,0.092,0
-2.149,-30.000,0.075,0
-2.651,-30.000,0.059,0
-3.148,-30.000,0.042,0
-3.627,-30.000,0.025,0
-3.274,-30.000,0.027,1
-2.929,21.830,0.010,0
-2.616,20.662,0.012,0
-2.616,19.493,0.012,0
-2.297,19.493,0.013,0
-1.996,18.323,0.015,0
-1.744,17.149,0.016,0
-1.506,15.994,0.018,0
-1.268,14.810,0.019,0
-1.049,13.655,0.021,0
-0.369,12.500,0.022,0
0.054,11.309,0.024,1
0.462,21.847,0.025,0
0.851,20.679,0.027,0
1.154,19.508,0.010,0
1.502,18.354,0.012,0
1.832,17.191,0.013,0
2.145,16.023,1.015,0
2.438,14.846,0.998,0
2.705,13.670,0.981,0
2.958,12.524,0.965,0
3.192,11.353,0.948,0
3.405,10.178,0.931,0
3.600,9.015,0.914,0
3.772,7.832,0.898,0
3.927,6.692,0.881,0
4.000,5.515,0.865,0
4.116,4.347,0.848,0
4.212,3.174,0.831,0
4.289,2.008,0.815,0
4.347,0.854,0.798,0
4.385,-0.308,0.781,0
4.403,-1.477,0.765,0
4.403,-2.660,0.748,0
4.383,-3.815,0.731,0
4.342,-4.977,0.715,0
4.285,-6.154,0.698,0
4.206,-7.309,0.681,0
4.046,-8.478,0.665,0
3.925,-9.639,0.648,0
3.791,-10.829,0.631,0
3.633,-11.978,0.615,0
3.458,-13.154,0.598,0
3.265,-14.316,0.582,0
3.045,-15.472,0.565,0
2.811,-16.661,0.548,0
2.562,-17.829,0.531,0
2.286,-18.978,0.515,0
1.990,-20.154,0.498,0
1.685,-21.331,0.481,0
1.287,-22.478,0.465,0
0.933,-23.656,0.448,0
0.565,-24.830,0.431,0
0.174,-25.991,0.415,0
-0.230,-27.162,0.398,0
-0.657,-28.316,0.381,0
-1.095,-29.477,0.365,0
-1.539,-30.000,0.348,0
-1.972,-30.000,0.331,0
-2.409,-30.000,0.315,0
-2.841,-30.000,0.298,0
-2.409,-30.000,0.281,1
-2.067,21.816,0.265,0
-1.678,20.655,0.248,0
-1.308,19.485,0.231,0
-0.960,18.310,0.215,0
-0.634,17.147,0.198,0
-0.324,15.992,0.181,0
-0.030,14.829,0.164,0
0.239,13.640,0.148,0
0.916,12.485,0.131,0
1.099,11.317,0.114,0
1.262,10.140,0.098,0
1.383,8.970,0.081,0
1.489,7.765,0.065,0
1.569,6.653,0.048,0
1.652,5.483,0.032,0
1.718,4.337,0.015,0
1.740,3.161,0.016,0
1.741,1.986,0.018,0
1.747,0.823,0.019,0
1.736,-0.382,0.021,0
1.678,-1.508,0.022,0
1.602,-2.698,0.024,0
1.532,-3.853,0.025,0
1.443,-5.009,0.027,0
1.808,-6.169,0.010,1
2.641,21.830,0.012,0
3.031,20.660,0.013,0
3.402,19.485,0.014,0
3.746,18.307,0.016,0
4.076,17.161,0.018,0
4.385,15.993,0.019,0
4.674,14.831,1.021,0
4.947,13.669,1.004,0
5.200,12.493,0.987,0
5.431,11.317,0.971,0
5.644,10.155,0.954,0
5.773,8.993,0.938,0
5.947,7.838,0.921,0
6.102,6.674,0.904,0
6.237,5.498,0.888,0
6.353,4.337,0.871,0
6.449,3.153,0.854,0
6.526,2.006,0.837,0
6.583,0.823,0.821,0
6.621,-0.345,0.804,0
6.639,-1.501,0.788,0
6.637,-2.662,0.771,0
6.616,-3.854,0.754,0
6.515,-5.015,0.738,0
6.456,-6.163,0.721,0
6.375,-7.332,0.704,0
6.276,-8.515,0.687,0
6.157,-9.684,0.671,0
6.022,-10.853,0.654,0
5.864,-12.008,0.637,0
5.692,-13.184,0.621,0
5.495,-14.331,0.604,0
5.274,-15.500,0.587,0
5.041,-16.692,0.571,0
4.790,-17.853,0.554,0
4.456,-19.008,0.538,0
4.157,-20.169,0.521,0
3.854,-21.352,0.504,0
3.516,-22.494,0.487,0
3.170,-23.677,0.471,0
2.793,-24.830,0.454,0
2.399,-26.014,0.437,0
1.991,-27.190,0.421,0
1.566,-28.353,0.404,0
1.129,-29.509,0.387,0
0.697,-30.000,0.371,0
0.256,-30.000,0.354,0
-0.248,-30.000,0.337,0
-0.684,-30.000,0.321,0
-1.122,-30.000,0.304,0
-0.697,-30.000,0.287,1
-0.293,21.839,0.271,0
0.098,20.684,0.254,0
0.469,19.507,0.237,0
0.817,18.332,0.221,0
1.145,17.167,0.204,0
1.457,16.007,0.187,0
1.748,14.833,0.171,0
2.019,13.663,0.154,0
2.207,12.501,0.137,0
2.863,11.339,0.121,0
3.028,10.184,0.104,0
3.171,9.001,0.087,0
3.270,7.832,0.071,0
3.349,6.670,0.054,0
3.434,5.515,0.037,0
3.500,4.343,0.021,0
3.521,3.183,0.022,0
3.523,2.014,0.024,0
3.531,0.845,0.025,0
3.519,-0.324,0.027,0
3.475,-1.500,0.010,0
